college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
National University,1154,CA,Private,Unknown,0.7778,9725,14258
Naval Postgraduate School,1154,CA,Public,Unknown,0.7778,1107,18700
Newschool Of Architecture And Design,1154,CA,Private,Unknown,1.0,212,33591
North Adrian'S College Of Beauty Inc,1154,CA,Private,Unknown,0.7778,213,18700
North-West College-Pomona,1154,CA,Private,Unknown,0.7778,315,18700
North-West College-West Covina,1154,CA,Private,Unknown,0.7778,635,18700
North-West College-Van Nuys,1154,CA,Private,Unknown,0.7778,225,18700
San Francisco Bay University,1154,CA,Private,Unknown,0.6939,62,22135
Notre Dame De Namur University,1154,CA,Private,Unknown,0.7778,14,18700
Occidental College,1461,CA,Private,Unknown,0.3989,1844,84800
Ohlone College,1154,CA,Public,Unknown,0.7778,6958,3202
Orange Coast College,1154,CA,Public,Unknown,0.7778,16117,26260
Otis College Of Art And Design,1154,CA,Private,Unknown,0.8398,1242,78345
Oxnard College,1154,CA,Public,Unknown,0.7778,6059,2568
Hope International University,1154,CA,Private,Unknown,0.3539,549,53759
Concorde Career College-San Diego,1154,CA,Private,Unknown,0.9395,178,18700
Palo Alto University,1154,CA,Private,Unknown,0.7778,19,18700
Pacific Oaks College,1154,CA,Private,Unknown,0.1,346,35388
Pacific School Of Religion,1154,CA,Private,Unknown,0.7778,1107,18700
Pacific States University,1154,CA,Private,Unknown,0.7778,17,11610
Pacific Union College,1093,CA,Private,Unknown,0.4248,910,49602
University Of The Pacific,1303,CA,Private,Unknown,0.9486,3247,76516
Palo Verde College,1154,CA,Public,Unknown,0.7778,2909,3466
Palomar College,1154,CA,Public,Unknown,0.7778,16167,2292
Pasadena City College,1154,CA,Public,Unknown,0.7778,20624,2332
Pepperdine University,1367,CA,Private,Unknown,0.4985,3629,93512
Pitzer College,1154,CA,Private,Unknown,0.1666,1191,86466
Point Loma Nazarene University,1278,CA,Private,Unknown,0.8176,3132,60868
Pomona College,1520,CA,Private,Unknown,0.0676,1638,85300
Porterville College,1154,CA,Public,Unknown,0.7778,2775,2347
Professional Institute Of Beauty,1154,CA,Private,Unknown,0.7778,90,18700
Santa Ana College,1154,CA,Public,Unknown,0.7778,22011,2118
